PCB: 008
ASM: 000
LOT: 00000
FW:  1477971088
CH1:  AMPS   10A
CH2:  VOLT   60V
SMPL: 0032 0125Hz
UTC TIME SEC  ,CH1 AMPS DC  ,CH2 VOLT DC  
1545556289.166,-2.827167E-03, 4.144850E000
1545556289.873,-2.798318E-03, 4.144777E000
1545556300.215,-2.788702E-03, 4.144814E000
1545556310.490,-2.836783E-03, 4.144868E000
1545556320.761,-2.807934E-03, 4.144924E000
1545556332.760,-2.827167E-03, 4.145327E000
1545556342.760,-2.812743E-03, 4.145418E000
1545556352.760,-2.817551E-03, 4.145436E000
1545556362.761,-2.827167E-03, 4.145528E000
1545556372.761,-2.817551E-03, 4.145455E000
1545556382.760,-2.831975E-03, 4.145473E000
1545556392.761,-2.807934E-03, 4.145510E000
1545556402.761,-2.836783E-03, 4.145491E000
1545556412.756,-2.798318E-03, 4.145491E000
1545556422.761,-2.822359E-03, 4.145510E000
1545556432.761,-2.831975E-03, 4.145473E000
1545556442.761,-2.822359E-03, 4.145473E000
1545556452.761,-2.831975E-03, 4.145510E000
1545556462.761,-2.822359E-03, 4.145473E000
1545556472.761,-2.822359E-03, 4.145491E000
1545556482.761,-2.817551E-03, 4.145491E000
1545556492.761,-2.812743E-03, 4.145491E000
1545556502.761,-2.827167E-03, 4.145436E000
1545556512.760,-2.822359E-03, 4.145473E000
1545556522.755,-2.822359E-03, 4.145436E000
1545556532.761,-2.788702E-03, 4.145455E000
1545556542.760,-2.831975E-03, 4.145455E000
1545556552.760,-2.841591E-03, 4.145400E000
1545556562.761,-2.822359E-03, 4.145455E000
1545556572.760,-2.803126E-03, 4.145436E000
1545556582.761,-2.831975E-03, 4.145418E000
1545556592.760,-2.831975E-03, 4.145382E000
1545556602.760,-2.807934E-03, 4.145436E000
1545556612.761,-2.817551E-03, 4.145455E000
1545556622.761,-2.817551E-03, 4.145418E000
1545556632.761,-2.817551E-03, 4.145400E000
1545556642.761,-2.822359E-03, 4.145363E000
1545556652.761,-2.798318E-03, 4.145436E000
1545556662.761,-2.803126E-03, 4.145345E000
1545556672.760,-2.807934E-03, 4.145363E000
1545556682.760,-2.827167E-03, 4.145400E000
1545556692.761,-2.807934E-03, 4.145382E000
1545556702.760,-2.803126E-03, 4.145327E000
1545556712.755,-2.831975E-03, 4.145345E000
1545556722.755,-2.793510E-03, 4.145345E000
1545556732.761,-2.817551E-03, 4.145327E000
1545556742.761,-2.803126E-03, 4.145327E000
1545556752.761,-2.807934E-03, 4.145327E000
1545556762.761,-2.827167E-03, 4.145308E000
1545556772.755,-2.812743E-03, 4.145271E000
1545556782.761,-2.807934E-03, 4.145308E000
1545556792.761,-2.827167E-03, 4.145327E000
1545556802.761,-2.827167E-03, 4.145271E000
1545556812.760,-2.817551E-03, 4.145271E000
1545556822.761,-2.798318E-03, 4.145253E000
1545556832.761,-2.822359E-03, 4.145290E000
1545556842.761,-2.827167E-03, 4.145327E000
1545556852.761,-2.841591E-03, 4.145235E000
1545556862.760,-2.798318E-03, 4.145235E000
1545556872.761,-2.817551E-03, 4.145235E000
1545556882.761,-2.788702E-03, 4.145327E000
1545556892.756,-2.822359E-03, 4.145217E000
1545556902.761,-2.822359E-03, 4.145290E000
1545556912.755,-2.807934E-03, 4.145198E000
1545556922.761,-2.831975E-03, 4.145198E000
1545556932.761,-2.831975E-03, 4.145235E000
1545556942.762,-2.812743E-03, 4.145217E000
1545556952.761,-2.817551E-03, 4.145198E000
1545556962.761,-2.822359E-03, 4.145198E000
1545556972.761,-2.817551E-03, 4.145198E000
1545556982.761,-2.807934E-03, 4.145180E000
1545556992.761,-2.827167E-03, 4.145125E000
1545557002.761,-2.812743E-03, 4.145180E000
1545557012.760,-2.812743E-03, 4.145144E000
1545557022.761,-2.812743E-03, 4.145125E000
